# file...... distribution_load.csv
# date...... Wed Jul 26 23:24:26 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 07:10:00 CDT,+75276.7-156578j,+2401+0i
2004-07-01 07:15:00 CDT,+77412.1-156027j,+2401+0i
2004-07-01 07:20:00 CDT,+85575.3-153917j,+2401+0i
2004-07-01 07:25:00 CDT,+79934-155379j,+2401+0i
2004-07-01 07:30:00 CDT,+95123.4-151433j,+2401+0i
2004-07-01 07:35:00 CDT,+109578-147699j,+2401+0i
2004-07-01 07:40:00 CDT,+100634-150022j,+2401+0i
2004-07-01 07:45:00 CDT,+143420-138880j,+2401+0i
2004-07-01 07:50:00 CDT,+140605-139623j,+2401+0i
2004-07-01 07:55:00 CDT,+153679-136219j,+2401+0i
2004-07-01 08:00:00 CDT,+178104-148005j,+2401+0i
2004-07-01 08:05:00 CDT,+163178-151903j,+2401+0i
2004-07-01 08:10:00 CDT,+171990-149605j,+2401+0i
2004-07-01 08:15:00 CDT,+197538-142764j,+2401+0i
2004-07-01 08:20:00 CDT,+151870-154872j,+2401+0i
2004-07-01 08:25:00 CDT,+196125-143196j,+2401+0i
2004-07-01 08:30:00 CDT,+159983-152772j,+2401+0i
2004-07-01 08:35:00 CDT,+199164-142404j,+2401+0i
2004-07-01 08:40:00 CDT,+193306-144015j,+2401+0i
2004-07-01 08:45:00 CDT,+183017-146697j,+2401+0i
2004-07-01 08:50:00 CDT,+243131-130855j,+2401+0i
2004-07-01 08:55:00 CDT,+152563-154734j,+2401+0i
2004-07-01 09:00:00 CDT,+258484-119163j,+2401+0i
2004-07-01 09:05:00 CDT,+195326-135983j,+2401+0i
2004-07-01 09:10:00 CDT,+229333-126956j,+2401+0i
2004-07-01 09:15:00 CDT,+279267-113702j,+2401+0i
2004-07-01 09:20:00 CDT,+184357-138888j,+2401+0i
2004-07-01 09:25:00 CDT,+218678-129799j,+2401+0i
2004-07-01 09:30:00 CDT,+271313-115905j,+2401+0i
2004-07-01 09:35:00 CDT,+234482-125670j,+2401+0i
2004-07-01 09:40:00 CDT,+218619-129780j,+2401+0i
2004-07-01 09:45:00 CDT,+263715-117894j,+2401+0i
2004-07-01 09:50:00 CDT,+251311-121168j,+2401+0i
2004-07-01 09:55:00 CDT,+255775-120025j,+2401+0i
2004-07-01 10:00:00 CDT,+267699-117370j,+2401+0i
2004-07-01 10:05:00 CDT,+234615-126314j,+2401+0i
2004-07-01 10:10:00 CDT,+271544-116419j,+2401+0i
2004-07-01 10:15:00 CDT,+265599-118088j,+2401+0i
2004-07-01 10:20:00 CDT,+260503-119420j,+2401+0i
2004-07-01 10:25:00 CDT,+258150-120006j,+2401+0i
2004-07-01 10:30:00 CDT,+274695-115546j,+2401+0i
2004-07-01 10:35:00 CDT,+292715-110807j,+2401+0i
2004-07-01 10:40:00 CDT,+276661-115169j,+2401+0i
2004-07-01 10:45:00 CDT,+263917-118459j,+2401+0i
2004-07-01 10:50:00 CDT,+265487-118135j,+2401+0i
2004-07-01 10:55:00 CDT,+285629-112666j,+2401+0i
2004-07-01 11:00:00 CDT,+302064-156001j,+2401+0i
2004-07-01 11:05:00 CDT,+301394-156153j,+2401+0i
2004-07-01 11:10:00 CDT,+282639-161279j,+2401+0i
2004-07-01 11:15:00 CDT,+294814-157894j,+2401+0i
