#nanoseconds	topic	value
0	eplus_control/controller_house_7_4_thermostat_controller_cooling_setpoint	75.06061872164236
0	eplus_control/controller_house_7_5_thermostat_controller_cooling_setpoint	75.38372960949258
0	eplus_control/controller_house_7_6_thermostat_controller_cooling_setpoint	74.86785053983297
0	eplus_control/controller_house_7_7_thermostat_controller_cooling_setpoint	75.14385710557819
0	eplus_control/controller_house_7_8_thermostat_controller_cooling_setpoint	75.35339166841922
0	eplus_control/controller_house_7_9_thermostat_controller_cooling_setpoint	75.11678615217181
0	eplus_control/controller_house_7_10_thermostat_controller_cooling_setpoint	75.63909269000018
0	eplus_control/controller_house_7_11_thermostat_controller_cooling_setpoint	74.88226489277778
0	eplus_control/controller_house_7_12_thermostat_controller_cooling_setpoint	75.19781289543779
0	eplus_control/controller_house_8_1_thermostat_controller_cooling_setpoint	74.13433491365548
0	eplus_control/controller_house_8_2_thermostat_controller_cooling_setpoint	74.35510858818506
0	eplus_control/controller_house_8_3_thermostat_controller_cooling_setpoint	75.0698490655771
0	eplus_control/controller_house_8_4_thermostat_controller_cooling_setpoint	75.41261253245574
0	eplus_control/controller_house_8_5_thermostat_controller_cooling_setpoint	75.12552866744143
0	eplus_control/controller_house_8_6_thermostat_controller_cooling_setpoint	75.67685362127989
0	eplus_control/controller_house_8_7_thermostat_controller_cooling_setpoint	74.64956920108453
0	eplus_control/controller_house_8_8_thermostat_controller_cooling_setpoint	75.80436384385378
0	eplus_control/controller_house_8_9_thermostat_controller_cooling_setpoint	75.10692387002236
0	eplus_control/controller_house_8_10_thermostat_controller_cooling_setpoint	74.09884017555903
0	eplus_control/controller_house_8_11_thermostat_controller_cooling_setpoint	74.2965931897155
0	eplus_control/controller_house_8_12_thermostat_controller_cooling_setpoint	75.10306682805249
0	eplus_control/controller_house_9_1_thermostat_controller_cooling_setpoint	75.14205786832012
0	eplus_control/controller_house_9_2_thermostat_controller_cooling_setpoint	75.02528552115979
0	eplus_control/controller_house_9_3_thermostat_controller_cooling_setpoint	75.48613142191721
0	eplus_control/controller_house_9_4_thermostat_controller_cooling_setpoint	75.91695671733127
0	eplus_control/controller_house_9_5_thermostat_controller_cooling_setpoint	74.9982948659206
0	eplus_control/controller_house_9_6_thermostat_controller_cooling_setpoint	75.10960797864581
0	eplus_control/controller_house_9_7_thermostat_controller_cooling_setpoint	75.64512787113377
0	eplus_control/controller_house_9_8_thermostat_controller_cooling_setpoint	75.12734625481394
0	eplus_control/controller_house_9_9_thermostat_controller_cooling_setpoint	74.81651128473726
0	eplus_control/controller_house_9_10_thermostat_controller_cooling_setpoint	75.31884270139456
0	eplus_control/controller_house_9_11_thermostat_controller_cooling_setpoint	75.51956216153319
0	eplus_control/controller_house_9_12_thermostat_controller_cooling_setpoint	74.08777070448627
0	eplus_control/controller_house_10_1_thermostat_controller_cooling_setpoint	75.04954423924414
0	eplus_control/controller_house_10_2_thermostat_controller_cooling_setpoint	75.09169998065128
0	eplus_control/controller_house_10_3_thermostat_controller_cooling_setpoint	75.68380625959303
0	eplus_control/controller_house_10_4_thermostat_controller_cooling_setpoint	75.45217125700076
0	eplus_control/controller_house_10_5_thermostat_controller_cooling_setpoint	75.70388962712339
0	eplus_control/controller_house_10_6_thermostat_controller_cooling_setpoint	74.3155188726044
0	eplus_control/controller_house_10_7_thermostat_controller_cooling_setpoint	74.4801944787041
0	eplus_control/controller_house_10_8_thermostat_controller_cooling_setpoint	74.57661748501872
0	eplus_control/controller_house_10_9_thermostat_controller_cooling_setpoint	75.87846247689897
0	eplus_control/controller_house_10_10_thermostat_controller_cooling_setpoint	75.78404910510916
0	eplus_control/controller_house_10_11_thermostat_controller_cooling_setpoint	75.34084760970839
0	eplus_control/controller_house_10_12_thermostat_controller_cooling_setpoint	75.82025905780553
0	eplus_control/controller_house_11_1_thermostat_controller_cooling_setpoint	74.7981554534182
0	eplus_control/controller_house_11_2_thermostat_controller_cooling_setpoint	75.60152296346834
0	eplus_control/controller_house_11_3_thermostat_controller_cooling_setpoint	75.23655709032253
0	eplus_control/controller_house_11_4_thermostat_controller_cooling_setpoint	74.352465463169
0	eplus_control/controller_house_11_5_thermostat_controller_cooling_setpoint	75.90994263766198
0	eplus_control/controller_house_11_6_thermostat_controller_cooling_setpoint	75.52425581875734
0	eplus_control/controller_house_11_7_thermostat_controller_cooling_setpoint	75.01326702147621
0	eplus_control/controller_house_11_8_thermostat_controller_cooling_setpoint	75.4413161809792
0	eplus_control/controller_house_11_9_thermostat_controller_cooling_setpoint	74.9350277129959
0	eplus_control/controller_house_11_10_thermostat_controller_cooling_setpoint	74.69116369044785
