# file...... distribution_load.csv
# date...... Wed Jul 26 22:24:25 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 07:25:00 CDT,+76497-156775j,+2401+0i
2004-07-01 07:30:00 CDT,+76497-156775j,+2401+0i
2004-07-01 07:35:00 CDT,+81158.3-155574j,+2401+0i
2004-07-01 07:40:00 CDT,+86642.1-154148j,+2401+0i
2004-07-01 07:45:00 CDT,+84088.2-154818j,+2401+0i
2004-07-01 07:50:00 CDT,+98809.3-151000j,+2401+0i
2004-07-01 07:55:00 CDT,+129265-143052j,+2401+0i
2004-07-01 08:00:00 CDT,+148198-156427j,+2401+0i
2004-07-01 08:05:00 CDT,+145163-157201j,+2401+0i
2004-07-01 08:10:00 CDT,+158267-153817j,+2401+0i
2004-07-01 08:15:00 CDT,+149771-155978j,+2401+0i
2004-07-01 08:20:00 CDT,+192537-144787j,+2401+0i
2004-07-01 08:25:00 CDT,+182664-147303j,+2401+0i
2004-07-01 08:30:00 CDT,+197488-143533j,+2401+0i
2004-07-01 08:35:00 CDT,+230426-134683j,+2401+0i
2004-07-01 08:40:00 CDT,+214494-139028j,+2401+0i
2004-07-01 08:45:00 CDT,+225009-135971j,+2401+0i
2004-07-01 08:50:00 CDT,+235747-133395j,+2401+0i
2004-07-01 08:55:00 CDT,+270609-123981j,+2401+0i
2004-07-01 09:00:00 CDT,+197899-135873j,+2401+0i
2004-07-01 09:05:00 CDT,+314688-104936j,+2401+0i
2004-07-01 09:10:00 CDT,+178275-141120j,+2401+0i
2004-07-01 09:15:00 CDT,+261302-119158j,+2401+0i
2004-07-01 09:20:00 CDT,+284748-112873j,+2401+0i
2004-07-01 09:25:00 CDT,+194834-136700j,+2401+0i
2004-07-01 09:30:00 CDT,+302582-108034j,+2401+0i
2004-07-01 09:35:00 CDT,+307445-106831j,+2401+0i
2004-07-01 09:40:00 CDT,+209848-132775j,+2401+0i
2004-07-01 09:45:00 CDT,+285586-112575j,+2401+0i
2004-07-01 09:50:00 CDT,+336431-99007.6j,+2401+0i
2004-07-01 09:55:00 CDT,+196774-136261j,+2401+0i
2004-07-01 10:00:00 CDT,+251951-122278j,+2401+0i
2004-07-01 10:05:00 CDT,+349044-96313.3j,+2401+0i
2004-07-01 10:10:00 CDT,+315929-105278j,+2401+0i
2004-07-01 10:15:00 CDT,+204589-134822j,+2401+0i
2004-07-01 10:20:00 CDT,+313368-105588j,+2401+0i
2004-07-01 10:25:00 CDT,+320793-103972j,+2401+0i
2004-07-01 10:30:00 CDT,+331132-101146j,+2401+0i
2004-07-01 10:35:00 CDT,+289596-112265j,+2401+0i
2004-07-01 10:40:00 CDT,+295472-110482j,+2401+0i
2004-07-01 10:45:00 CDT,+334038-100006j,+2401+0i
2004-07-01 10:50:00 CDT,+309757-106813j,+2401+0i
2004-07-01 10:55:00 CDT,+320557-104081j,+2401+0i
2004-07-01 11:00:00 CDT,+333693-148362j,+2401+0i
2004-07-01 11:05:00 CDT,+333286-148430j,+2401+0i
2004-07-01 11:10:00 CDT,+394074-131812j,+2401+0i
2004-07-01 11:15:00 CDT,+412875-126646j,+2401+0i
2004-07-01 11:20:00 CDT,+395812-131242j,+2401+0i
2004-07-01 11:25:00 CDT,+372529-137690j,+2401+0i
2004-07-01 11:30:00 CDT,+343865-145396j,+2401+0i
2004-07-01 11:35:00 CDT,+346621-144683j,+2401+0i
2004-07-01 11:40:00 CDT,+345018-145123j,+2401+0i
2004-07-01 11:45:00 CDT,+342026-145974j,+2401+0i
2004-07-01 11:50:00 CDT,+366969-139298j,+2401+0i
2004-07-01 11:55:00 CDT,+371452-138086j,+2401+0i
2004-07-01 12:00:00 CDT,+380766-152366j,+2401+0i
2004-07-01 12:05:00 CDT,+381375-152095j,+2401+0i
2004-07-01 12:10:00 CDT,+404422-145864j,+2401+0i
2004-07-01 12:15:00 CDT,+401125-146695j,+2401+0i
2004-07-01 12:20:00 CDT,+412903-143620j,+2401+0i
2004-07-01 12:25:00 CDT,+408315-144663j,+2401+0i
2004-07-01 12:30:00 CDT,+409850-144364j,+2401+0i
2004-07-01 12:35:00 CDT,+432477-137920j,+2401+0i
2004-07-01 12:40:00 CDT,+451509-132797j,+2401+0i
2004-07-01 12:45:00 CDT,+441143-135660j,+2401+0i
2004-07-01 12:50:00 CDT,+453959-132169j,+2401+0i
2004-07-01 12:55:00 CDT,+423280-140643j,+2401+0i
2004-07-01 13:00:00 CDT,+411547-96064.8j,+2401+0i
2004-07-01 13:05:00 CDT,+414966-95189.5j,+2401+0i
2004-07-01 13:10:00 CDT,+449764-85642.7j,+2401+0i
2004-07-01 13:15:00 CDT,+438911-88669j,+2401+0i
2004-07-01 13:20:00 CDT,+467887-80622.6j,+2401+0i
2004-07-01 13:25:00 CDT,+481849-76730.8j,+2401+0i
2004-07-01 13:30:00 CDT,+489045-74503.5j,+2401+0i
2004-07-01 13:35:00 CDT,+506276-69877.3j,+2401+0i
2004-07-01 13:40:00 CDT,+470953-79494j,+2401+0i
2004-07-01 13:45:00 CDT,+474298-78703.2j,+2401+0i
2004-07-01 13:50:00 CDT,+492775-73657.5j,+2401+0i
2004-07-01 13:55:00 CDT,+495252-73037.9j,+2401+0i
2004-07-01 14:00:00 CDT,+492341-64751.1j,+2401+0i
2004-07-01 14:05:00 CDT,+500623-62480.3j,+2401+0i
2004-07-01 14:10:00 CDT,+473806-69762.8j,+2401+0i
2004-07-01 14:15:00 CDT,+496355-63483.3j,+2401+0i
2004-07-01 14:20:00 CDT,+511337-59299.1j,+2401+0i
